Run,AGE,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,birth_date,birth_location,BREED,breeding_history,breeding_method,Bytes,cell_line,cell_subtype,cell_type,Center Name,collected_by,Collection_Date,Consent,culture_collection,DATASTORE filetype,DATASTORE provider,DATASTORE region,death_date,dev_stage,disease,disease_stage,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,growth_protocol,health_state,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Phenotype,Platform,ReleaseDate,create_date,version,Sample Name,sample_type,sex,specimen_voucher,SRA Study,store_cond,strain,stud_book_number,tissue,treatment,AssemblyName
SRR1449243,2 years,RNA-Seq,180,6875341481,DEPI,PRJNA251439,SAMN02822088,Model organism or animal,1/08/2008,Missing,Holstein,Missing,Missing,3930305777,Missing,Missing,Missing,DEPARTMENT OF ENVIRONMENT AND PRIMARY INDUSTRIES,dissection,8/09/2010,public,Missing,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",8/09/2010,65 days in milk,Missing,Missing,SRX562296,Missing,uncalculated,uncalculated,Missing,Missing,Missing,Illumina HiSeq 2000,Missing,Missing,,PAIRED,PolyA,TRANSCRIPTOMIC,Bos taurus,Missing,ILLUMINA,2014-07-17T00:00:00Z,2014-07-15T15:21:00Z,1,Btau_HOL_0125_liver,Missing,female,Missing,SRP042639,Missing,Missing,Missing,liver,Missing,GCF_000003055.5
SRR1449244,2 years,RNA-Seq,182,5375409427,DEPI,PRJNA251439,SAMN02822088,Model organism or animal,1/08/2008,Missing,Holstein,Missing,Missing,3081529176,Missing,Missing,Missing,DEPARTMENT OF ENVIRONMENT AND PRIMARY INDUSTRIES,dissection,8/09/2010,public,Missing,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",8/09/2010,65 days in milk,Missing,Missing,SRX562296,Missing,uncalculated,uncalculated,Missing,Missing,Missing,Illumina HiSeq 2000,Missing,Missing,,PAIRED,PolyA,TRANSCRIPTOMIC,Bos taurus,Missing,ILLUMINA,2014-07-17T00:00:00Z,2014-07-15T14:29:00Z,1,Btau_HOL_0125_liver,Missing,female,Missing,SRP042639,Missing,Missing,Missing,liver,Missing,GCF_000003055.5
SRR1449245,2 years,RNA-Seq,181,5658583060,DEPI,PRJNA251439,SAMN02822088,Model organism or animal,1/08/2008,Missing,Holstein,Missing,Missing,3263534793,Missing,Missing,Missing,DEPARTMENT OF ENVIRONMENT AND PRIMARY INDUSTRIES,dissection,8/09/2010,public,Missing,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",8/09/2010,65 days in milk,Missing,Missing,SRX562296,Missing,uncalculated,uncalculated,Missing,Missing,Missing,Illumina HiSeq 2000,Missing,Missing,,PAIRED,PolyA,TRANSCRIPTOMIC,Bos taurus,Missing,ILLUMINA,2014-07-17T00:00:00Z,2014-07-15T14:36:00Z,1,Btau_HOL_0125_liver,Missing,female,Missing,SRP042639,Missing,Missing,Missing,liver,Missing,GCF_000003055.5
SRR1449246,2 years,RNA-Seq,184,1084404233,DEPI,PRJNA251439,SAMN02822089,Model organism or animal,1/08/2008,Missing,Holstein,Missing,Missing,516057024,Missing,Missing,Missing,DEPARTMENT OF ENVIRONMENT AND PRIMARY INDUSTRIES,dissection,8/09/2010,public,Missing,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",8/09/2010,65 days in milk,Missing,Missing,SRX562297,Missing,uncalculated,uncalculated,Missing,Missing,Missing,Illumina HiSeq 2000,Missing,Missing,,PAIRED,PolyA,TRANSCRIPTOMIC,Bos taurus,Missing,ILLUMINA,2015-07-22T00:00:00Z,2015-12-02T14:55:00Z,2,Btau_HOL_0125_black skin,Missing,female,Missing,SRP042639,Missing,Missing,Missing,black skin,Missing,GCF_000003055.5
SRR1449247,2 years,RNA-Seq,185,3989467716,DEPI,PRJNA251439,SAMN02822089,Model organism or animal,1/08/2008,Missing,Holstein,Missing,Missing,1815325693,Missing,Missing,Missing,DEPARTMENT OF ENVIRONMENT AND PRIMARY INDUSTRIES,dissection,8/09/2010,public,Missing,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",8/09/2010,65 days in milk,Missing,Missing,SRX562297,Missing,uncalculated,uncalculated,Missing,Missing,Missing,Illumina HiSeq 2000,Missing,Missing,,PAIRED,PolyA,TRANSCRIPTOMIC,Bos taurus,Missing,ILLUMINA,2015-07-22T00:00:00Z,2015-12-02T13:56:00Z,2,Btau_HOL_0125_black skin,Missing,female,Missing,SRP042639,Missing,Missing,Missing,black skin,Missing,GCF_000003055.5
SRR1449248,2 years,RNA-Seq,183,2710463213,DEPI,PRJNA251439,SAMN02822089,Model organism or animal,1/08/2008,Missing,Holstein,Missing,Missing,1290357708,Missing,Missing,Missing,DEPARTMENT OF ENVIRONMENT AND PRIMARY INDUSTRIES,dissection,8/09/2010,public,Missing,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",8/09/2010,65 days in milk,Missing,Missing,SRX562297,Missing,uncalculated,uncalculated,Missing,Missing,Missing,Illumina HiSeq 2000,Missing,Missing,,PAIRED,PolyA,TRANSCRIPTOMIC,Bos taurus,Missing,ILLUMINA,2015-07-22T00:00:00Z,2015-12-02T13:56:00Z,2,Btau_HOL_0125_black skin,Missing,female,Missing,SRP042639,Missing,Missing,Missing,black skin,Missing,GCF_000003055.5
SRR1449250,2 years,RNA-Seq,182,3271064289,DEPI,PRJNA251439,SAMN02822090,Model organism or animal,1/08/2008,Missing,Holstein,Missing,Missing,1559592833,Missing,Missing,Missing,DEPARTMENT OF ENVIRONMENT AND PRIMARY INDUSTRIES,dissection,8/09/2010,public,Missing,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",8/09/2010,65 days in milk,Missing,Missing,SRX562298,Missing,uncalculated,uncalculated,Missing,Missing,Missing,Illumina HiSeq 2000,Missing,Missing,,PAIRED,PolyA,TRANSCRIPTOMIC,Bos taurus,Missing,ILLUMINA,2015-07-22T00:00:00Z,2015-12-02T13:51:00Z,2,Btau_HOL_0125_white skin,Missing,female,Missing,SRP042639,Missing,Missing,Missing,white skin,Missing,GCF_000003055.5
SRR1449251,2 years,RNA-Seq,183,3010048812,DEPI,PRJNA251439,SAMN02822090,Model organism or animal,1/08/2008,Missing,Holstein,Missing,Missing,1422868274,Missing,Missing,Missing,DEPARTMENT OF ENVIRONMENT AND PRIMARY INDUSTRIES,dissection,8/09/2010,public,Missing,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",8/09/2010,65 days in milk,Missing,Missing,SRX562298,Missing,uncalculated,uncalculated,Missing,Missing,Missing,Illumina HiSeq 2000,Missing,Missing,,PAIRED,PolyA,TRANSCRIPTOMIC,Bos taurus,Missing,ILLUMINA,2015-07-22T00:00:00Z,2015-12-02T13:52:00Z,2,Btau_HOL_0125_white skin,Missing,female,Missing,SRP042639,Missing,Missing,Missing,white skin,Missing,GCF_000003055.5
SRR1449252,2 years,RNA-Seq,184,3267511238,DEPI,PRJNA251439,SAMN02822090,Model organism or animal,1/08/2008,Missing,Holstein,Missing,Missing,1522752730,Missing,Missing,Missing,DEPARTMENT OF ENVIRONMENT AND PRIMARY INDUSTRIES,dissection,8/09/2010,public,Missing,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",8/09/2010,65 days in milk,Missing,Missing,SRX562298,Missing,uncalculated,uncalculated,Missing,Missing,Missing,Illumina HiSeq 2000,Missing,Missing,,PAIRED,PolyA,TRANSCRIPTOMIC,Bos taurus,Missing,ILLUMINA,2015-07-22T00:00:00Z,2015-12-02T13:52:00Z,2,Btau_HOL_0125_white skin,Missing,female,Missing,SRP042639,Missing,Missing,Missing,white skin,Missing,GCF_000003055.5
SRR1449253,2 years,RNA-Seq,189,3422580751,DEPI,PRJNA251439,SAMN02822091,Model organism or animal,1/08/2008,Missing,Holstein,Missing,Missing,1880573584,Missing,Missing,Missing,DEPARTMENT OF ENVIRONMENT AND PRIMARY INDUSTRIES,dissection,8/09/2010,public,Missing,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",8/09/2010,65 days in milk,Missing,Missing,SRX562366,Missing,uncalculated,uncalculated,Missing,Missing,Missing,Illumina HiSeq 2000,Missing,Missing,,PAIRED,PolyA,TRANSCRIPTOMIC,Bos taurus,Missing,ILLUMINA,2014-07-17T00:00:00Z,2014-07-15T16:15:00Z,1,Btau_HOL_0125_adrenal gland,Missing,female,Missing,SRP042639,Missing,Missing,Missing,adrenal gland,Missing,GCF_000003055.5
